Transaction_ID,Transaction_Timestamp,Store_ID,City,State,Product,Unit_Price_USD,Quantity,Gross_Sales_USD,Discount_Rate,Discount_Amount_USD,Net_Sales_USD,Sales_Tax_Rate,Sales_Tax_USD,Total_Paid_USD,Payment_Method,Channel
BB-20251001-NYC-001-118640,10/1/2025 7:42,NYC-001,New York,NY,Espresso,3.25,4,13,0.05,0.65,12.35,0.12,1.48,13.83,Card,In-Store
BB-20251001-HFD-001-270440,10/1/2025 10:10,HFD-001,Hartford,CT,Cappuccino,3.5,1,3.5,0,0,3.5,0.12,0.42,3.92,Cash,In-Store
BB-20251001-HFD-001-549183,10/1/2025 10:36,HFD-001,Hartford,CT,Espresso,3.25,1,3.25,0,0,3.25,0.12,0.39,3.64,Cash,In-Store
BB-20251001-PHL-001-768258,10/1/2025 17:51,PHL-001,Philadelphia,PA,Espresso,3.25,1,3.25,0,0,3.25,0.12,0.39,3.64,Cash,In-Store
BB-20251002-NYC-001-803115,10/2/2025 7:47,NYC-001,New York,NY,Cappuccino,3.5,1,3.5,0,0,3.5,0.12,0.42,3.92,Cash,Takeaway
BB-20251002-HFD-001-877488,10/2/2025 7:58,HFD-001,Hartford,CT,Cappuccino,3.5,1,3.5,0,0,3.5,0.12,0.42,3.92,Card,In-Store
BB-20251002-POR-001-673573,10/2/2025 11:29,POR-001,Portland,ME,Cappuccino,3.5,3,10.5,0,0,10.5,0.12,1.26,11.76,Cash,In-Store
BB-20251002-ALB-001-261711,10/2/2025 14:33,ALB-001,Albany,NY,Espresso,3.25,1,3.25,0,0,3.25,0.12,0.39,3.64,Mobile,Delivery
BB-20251003-HFD-001-510539,10/3/2025 8:27,HFD-001,Hartford,CT,Espresso,3.25,2,6.5,0,0,6.5,0.12,0.78,7.28,Cash,In-Store
BB-20251003-PVD-001-715961,10/3/2025 8:38,PVD-001,Providence,RI,Espresso,3.25,1,3.25,0,0,3.25,0.12,0.39,3.64,Cash,Takeaway
BB-20251004-PHL-001-815213,10/4/2025 7:25,PHL-001,Philadelphia,PA,Mocha,3.45,1,3.45,0,0,3.45,0.12,0.41,3.86,Mobile,Takeaway
BB-20251004-NWK-001-756646,10/4/2025 7:40,NWK-001,Newark,NJ,Cappuccino,3.5,3,10.5,0,0,10.5,0.12,1.26,11.76,Card,Takeaway
BB-20251004-PHL-001-826270,10/4/2025 8:39,PHL-001,Philadelphia,PA,Cappuccino,3.5,1,3.5,0.1,0.35,3.15,0.12,0.38,3.53,Card,In-Store
BB-20251004-ALB-001-867927,10/4/2025 17:40,ALB-001,Albany,NY,Espresso,3.25,2,6.5,0.1,0.65,5.85,0.12,0.7,6.55,Mobile,In-Store
BB-20251004-NYC-001-868316,10/4/2025 19:09,NYC-001,New York,NY,Cappuccino,3.5,1,3.5,0,0,3.5,0.12,0.42,3.92,Mobile,Takeaway
BB-20251005-NYC-001-338299,10/5/2025 8:18,NYC-001,New York,NY,Mocha,3.45,1,3.45,0,0,3.45,0.12,0.41,3.86,Card,In-Store
BB-20251005-NWK-001-975569,10/5/2025 9:01,NWK-001,Newark,NJ,Espresso,3.25,2,6.5,0,0,6.5,0.12,0.78,7.28,Card,In-Store
BB-20251005-ALB-001-787884,10/5/2025 19:19,ALB-001,Albany,NY,Cappuccino,3.5,1,3.5,0,0,3.5,0.12,0.42,3.92,Cash,In-Store
BB-20251006-POR-001-415783,10/6/2025 7:00,POR-001,Portland,ME,Mocha,3.45,1,3.45,0,0,3.45,0.12,0.41,3.86,Card,In-Store
BB-20251007-HFD-001-146115,10/7/2025 8:25,HFD-001,Hartford,CT,Cappuccino,3.5,2,7,0,0,7,0.12,0.84,7.84,Card,In-Store
BB-20251007-ALB-001-743898,10/7/2025 8:36,ALB-001,Albany,NY,Mocha,3.45,1,3.45,0.1,0.35,3.1,0.12,0.37,3.47,Card,Takeaway
