Invoice Date,Due Date,Amount,Vendor ,
7/10/2025,8/9/2025," $1,500.00 ",Best Travels,
7/16/2025,8/15/2025," $1,500.00 ",Best Travels,
7/20/2025,8/19/2025," $1,200.00 ",Travel Co,
7/22/2025,8/21/2025," $1,200.00 ",Office Travels,
7/24/2025,8/23/2025," $1,200.00 ",FineLife,
7/25/2025,8/24/2025," $2,000.00 ",FineLife,
7/25/2025,8/24/2025," $3,500.00 ",Hybrid Co.,
7/26/2025,8/25/2025," $2,000.00 ",Willow Spa,
7/28/2025,8/27/2025," $1,500.00 ",Newlife Resort,
7/30/2025,8/29/2025," $1,500.00 ",Variety Living,
