Date,Amount,Description,Reference
7/1/2025,2000,Deposit - Allied Agency,TXN3000
7/2/2025,-1200,Utilities,TXN3001
7/3/2025,1000,Deposit - BigBlue Airline,TXN3002
7/4/2025,-1500,Office expense,TXN3003
7/5/2025,1500,Deposit - La Journeé Resort,TXN3004
7/6/2025,-1500,Salaries,TXN3005
7/7/2025,3000,Deposit - Allied Agency,TXN3006
7/8/2025,-800,Salaries,TXN3007
7/9/2025,2000,Deposit - Bandana Events,TXN3008
7/10/2025,-1500,Vendor Payment - Best Travels,TXN3009
7/11/2025,3000,Deposit - La Journeé Resort,TXN3010
7/12/2025,-300,Office expense,TXN3011
7/13/2025,1500,Deposit - La Journeé Resort,TXN3012
7/14/2025,-500,Tax payment,TXN3013
7/15/2025,3000,Deposit - La Journeé Resort,TXN3014
7/16/2025,-1500,Vendor Payment - Best Travels,TXN3015
7/17/2025,2000,Deposit - Allied Agency,TXN3016
7/18/2025,-1000,Utilities,TXN3017
7/19/2025,1000,Deposit - La Journeé Resort,TXN3018
7/20/2025,-1200,Vendor Payment - Travel Co,TXN3019
7/21/2025,1500,Deposit - Hillary Resorts,TXN3020
7/22/2025,-1200,Vendor Payment - Office Travels,TXN3021
7/23/2025,1500,Deposit - BigBlue Airline,TXN3022
7/24/2025,-1200,Vendor Payment - FineLife,TXN3023
7/25/2025,3000,Deposit - Hillary Resorts,TXN3024
7/26/2025,-800,Vendor Payment - Office Depot,TXN3025
7/27/2025,2500,Deposit - Allied Agency,TXN3026
7/28/2025,-1500,Vendor Payment - Newlife Resort,TXN3027
7/29/2025,2500,Deposit - La Journeé Resort,TXN3028
7/30/2025,-1500,Vendor Payment - Variety Living,TXN3029
