Date,DESCRIPTION,Payee,Categorise or match,SPENT,RECEIVED
"05/30/2025","Utility Bill","","Uncategorised Expense","$133.93",""
"05/30/2025","Event Planning Fee","","Uncategorised Income","","$3,208.34"
"05/29/2025","Vendor Payment - Sound System","","Uncategorised Expense","$1,234.37",""
"05/29/2025","Salary Payment","","Uncategorised Expense","$1,506.84",""
"05/22/2025","Sale of Decor Items","","Uncategorised Income","","$1,460.13"
"05/20/2025","Vendor Payment - Sound System","","Uncategorised Expense","$1,391.37",""
"05/18/2025","Event Planning Fee","","Uncategorised Income","","$3,642.89"
"05/15/2025","Event Planning Fee","","Uncategorised Income","","$3,555.74"
"05/15/2025","Travel and Entertainment","","Uncategorised Expense","$668.11",""
"05/13/2025","Sale of Decor Items","","Uncategorised Income","","$495.56"
"05/13/2025","Sale of Decor Items","","Uncategorised Income","","$722.19"
"05/12/2025","Event Planning Fee","","Uncategorised Income","","$1,969.91"
"05/11/2025","Sale of Decor Items","","Uncategorised Income","","$1,298.43"
"05/10/2025","Sale of Decor Items","","Uncategorised Income","","$741.73"
"05/10/2025","Vendor Payment - Flowers","","Uncategorised Expense","$652.54",""
"05/07/2025","Vendor Payment - Flowers","","Uncategorised Expense","$544.22",""
"05/06/2025","Travel and Entertainment","","Uncategorised Expense","$364.54",""
"05/06/2025","Travel and Entertainment","","Uncategorised Expense","$105.83",""
"05/06/2025","Event Planning Fee","","Uncategorised Income","","$1,129.50"
"05/05/2025","Travel and Entertainment","","Uncategorised Expense","$571.35",""
"05/05/2025","Salary Payment","","Uncategorised Expense","$2,992.33",""
"05/02/2025","Travel and Entertainment","","Uncategorised Expense","$575.52",""
"05/01/2025","Event Planning Fee","","Uncategorised Income","","$3,884.55"
"04/29/2025","Venue Rental","","Uncategorised Expense","$1,822.24",""
"04/27/2025","Sale of Decor Items","","Uncategorised Income","","$755.72"
"04/26/2025","Venue Rental","","Uncategorised Expense","$2,515.58",""
"04/22/2025","Event Planning Fee","","Uncategorised Income","","$3,002.91"
"04/20/2025","Salary Payment","","Uncategorised Expense","$2,621.35",""
"04/18/2025","Vendor Payment - Sound System","","Uncategorised Expense","$505.73",""
"04/17/2025","Petty Cash Withdrawal","","Uncategorised Expense","$241.19",""
"04/17/2025","Event Planning Fee","","Uncategorised Income","","$2,422.72"
"04/15/2025","Utility Bill","","Uncategorised Expense","$250.70",""
"04/15/2025","Software Subscription","","Uncategorised Expense","$36.01",""
"04/13/2025","Event Planning Fee","","Uncategorised Income","","$4,779.41"
"04/07/2025","Event Planning Fee","","Uncategorised Income","","$2,076.01"
"04/06/2025","Transportation Cost","","Uncategorised Expense","$108.27",""
"04/06/2025","Sale of Decor Items","","Uncategorised Income","","$1,055.69"
"04/05/2025","Vendor Payment - Projector","","Uncategorised Expense","$720.94",""
"04/05/2025","Software Subscription","","Uncategorised Expense","$75.08",""
"04/04/2025","Software Subscription","","Uncategorised Expense","$52.22",""
"04/03/2025","Vendor Payment - Flowers","","Uncategorised Expense","$351.38",""
"04/01/2025","Vendor Payment - Sound System","","Uncategorised Expense","$818.60",""
"03/31/2025","Vendor Payment - Sound System","","Uncategorised Expense","$541.86",""
"03/29/2025","Vendor Payment - Sound System","","Uncategorised Expense","$449.66",""
"03/28/2025","Event Planning Fee","","Uncategorised Income","","$4,067.05"
"03/25/2025","Venue Rental","","Uncategorised Expense","$1,650.45",""
"03/23/2025","Software Subscription","","Uncategorised Expense","$88.22",""
"03/23/2025","Petty Cash Withdrawal","","Uncategorised Expense","$384.36",""
"03/23/2025","Venue Rental","","Uncategorised Expense","$1,714.64",""
"03/21/2025","Sale of Decor Items","","Uncategorised Income","","$716.84"
