Meeting Date,Task,Task Deadline
15 Feb 2025,Call Law Bros. for extension in bill payment date,
15 Feb 2025,Reconcile office records,
15 Feb 2025,Update software in office PC,
15 Feb 2025,Pay all utility bills on priority,
15 Feb 2025,Check the working of security cameras and make a report,
28 Feb 2025,Follow-up call to Mr. Howard,
28 Feb 2025,Pay $1500 to Plumber Place,
28 Feb 2025,Make a summary of tax returns,3 March 2025
5 March 2025,Meeting with Mr. Ben for new marketing campaign. Budget $2000,
5 March 2025,"Locate the missing files of former employees, especially the ones whose dues are pending",
5 March 2025,Start work on payroll. Add $300 bonus for Cynthia (HR Intern),
